Filtering the log data using "subsystem == "com.apple.hid" OR (process == "kernel" AND composedMessage CONTAINS "Apple")"
Timestamp                       Thread     Type        Activity             PID    TTL
2026-03-30 01:33:11.784088-0600 0x14bced2  Default     0x0                  0      0    kernel: (IOUSBHostFamily) AppleUSB20HubPort@02140000: AppleUSBHostPort::enumerateDeviceComplete_block_invoke: enumerated 0x1209/0001/0101 (BLE HID Bridge / 3) at 12 Mbps
2026-03-30 01:33:11.790148-0600 0x14bd5b5  Default     0x0                  0      0    kernel: (IOUSBHostFamily) BLE HID Bridge@02140000: IOUSBHostDevice::setConfigurationGated: AppleUSBHostCompositeDevice selected configuration 1
2026-03-30 01:33:11.794927-0600 0x14bebdc  Default     0x0                  0      0    kernel: Driver com.apple.AppleUserHIDDrivers has crashed 0 time(s)
2026-03-30 01:33:11.794964-0600 0x14bebdc  Default     0x0                  0      0    kernel: DK: AppleUserUSBHostHIDDevice-0x1009031bf waiting for server com.apple.driverkit.AppleUserHIDDrivers-100000e9f
2026-03-30 01:33:11.795047-0600 0x14bebdc  Default     0x0                  0      0    kernel: (IOHIDFamily) AppleUserUSBHostHIDDevice:0x1009031bf start (state:0x0)
2026-03-30 01:33:11.804405-0600 0x14bbb94  Default     0x0                  0      0    kernel: (IOHIDFamily) AppleUserUSBHostHIDDevice:0x1009031bf start (state:0x4)
2026-03-30 01:33:11.804432-0600 0x14bbb94  Info        0x0                  0      0    kernel: (IOHIDFamily) AppleUserUSBHostHIDDevice:0x1009031bf start
2026-03-30 01:33:11.804703-0600 0x14bbb94  Default     0x0                  0      0    kernel: (IOHIDFamily) <dict ID="0"><key>IORegistryEntryID</key><integer size="64" ID="1">0x1009031bf</integer><key>IOName</key><string ID="2">AppleUserUSBHostHIDDevice</string><key>Transport</key><string ID="3">USB</string><key>VendorID</key><integer size="64" ID="4">0x1209</integer><key>ProductID</key><integer size="64" ID="5">0x1</integer><key>VersionNumber</key><integer size="64" ID="6">0x101</integer><key>Manufacturer</key><string ID="7">bt2usb</string><key>Product</key><string ID="8">BLE HID Bridge</string><key>LocationID</key><integer size="32" ID="9">0x2140000</integer><key>CountryCode</key><integer size="64" ID="10">0x0</integer><key>SerialNumber</key><string ID="11">PROBE</string><key>ReportDescriptor</key><data ID="12">BgD/CQGhAQkBFQAm/wB1CJUBgQLA</data></dict>
2026-03-30 01:33:11.804829-0600 0x14bbb94  Default     0x0                  0      0    kernel: (IOHIDFamily) <dict ID="0"><key>IORegistryEntryID</key><integer size="64" ID="1">0x1009031bf</integer><key>IOName</key><string ID="2">AppleUserUSBHostHIDDevice</string><key>Transport</key><string ID="3">USB</string><key>VendorID</key><integer size="64" ID="4">0x1209</integer><key>ProductID</key><integer size="64" ID="5">0x1</integer><key>VersionNumber</key><integer size="64" ID="6">0x101</integer><key>Manufacturer</key><string ID="7">bt2usb</string><key>Product</key><string ID="8">BLE HID Bridge</string><key>LocationID</key><integer size="32" ID="9">0x2140000</integer><key>CountryCode</key><integer size="64" ID="10">0x0</integer><key>SerialNumber</key><string ID="11">PROBE</string><key>ReportDescriptor</key><data ID="12">BgD/CQGhAQkBFQAm/wB1CJUBgQLA</data></dict>
2026-03-30 01:33:11.804919-0600 0x14bbb94  Default     0x0                  0      0    kernel: (IOHIDFamily) <dict ID="0"><key>IORegistryEntryID</key><integer size="64" ID="1">0x1009031bf</integer><key>IOName</key><string ID="2">AppleUserUSBHostHIDDevice</string><key>Transport</key><string ID="3">USB</string><key>VendorID</key><integer size="64" ID="4">0x1209</integer><key>ProductID</key><integer size="64" ID="5">0x1</integer><key>VersionNumber</key><integer size="64" ID="6">0x101</integer><key>Manufacturer</key><string ID="7">bt2usb</string><key>Product</key><string ID="8">BLE HID Bridge</string><key>LocationID</key><integer size="32" ID="9">0x2140000</integer><key>CountryCode</key><integer size="64" ID="10">0x0</integer><key>SerialNumber</key><string ID="11">PROBE</string><key>ReportDescriptor</key><data ID="12">BgD/CQGhAQkBFQAm/wB1CJUBgQLA</data></dict>
